"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tyler Johnson","LAR","10.7","125.0","0.7","0.0","0.0","0.0","0.1","16.7"
"Skyy Moore","KC","8.9","111.4","0.9","0.0","0.0","0.0","0.1","16.4"
"Allen Robinson II","NYG","15.2","124.1","0.7","0.0","0.0","0.0","0.1","16.4"
"Dyami Brown","WAS","8.5","126.1","0.6","0.0","0.0","0.0","0.1","16.1"
"Ainias Smith","PHI","9.8","115.5","0.7","0.0","0.0","0.0","0.1","15.8"
"JuJu Smith-Schuster","NE","14.5","131.9","0.5","0.0","0.0","0.0","0.2","15.8"
"Ray-Ray McCloud III","ATL","11.6","115.1","0.8","0.0","0.0","0.0","0.1","15.8"
"David Moore","CAR","10.5","122.3","0.6","0.0","0.0","0.0","0.1","15.7"
"Javon Baker","NE","10.0","115.3","0.6","0.0","0.0","0.0","0.1","14.7"
"Kadarius Toney","KC","5.6","54.8","0.5","7.7","41.5","0.4","0.1","14.7"
"K.J. Osborn","NE","10.1","106.5","0.6","0.0","0.0","0.0","0.1","13.7"
"Donovan Peoples-Jones","DET","8.3","105.0","0.6","0.0","0.0","0.0","0.1","13.6"
"Laviska Shenault Jr.","SEA","7.8","77.5","0.4","4.2","22.4","0.2","0.1","13.1"
"Jordan Whittington","LAR","7.0","85.4","0.5","0.0","0.0","0.0","0.0","11.5"
"Mack Hollins","BUF","6.5","79.5","0.6","0.0","0.0","0.0","0.1","11.4"
"Tyler Scott","CHI","4.7","54.8","0.4","4.2","25.8","0.2","0.1","11.2"
"Johnny Wilson","PHI","6.5","75.8","0.5","0.0","0.0","0.0","0.0","10.4"
"Isaiah McKenzie","NYG","4.0","31.8","0.2","7.6","40.6","0.3","0.1","9.9"
"Quez Watkins","PIT","6.4","76.1","0.4","0.0","0.0","0.0","0.1","9.7"
"Jalen Nailor","MIN","6.0","73.2","0.3","0.0","0.0","0.0","0.1","9.2"
"Anthony Gould","IND","6.2","70.0","0.3","0.0","0.0","0.0","0.0","8.9"
"Ihmir Smith-Marsette","CAR","3.2","37.6","0.2","4.2","28.3","0.3","0.1","8.9"
"David Bell","CLE","6.7","70.4","0.3","0.0","0.0","0.0","0.1","8.7"
"John Metchie III","HOU","4.9","61.0","0.4","0.0","0.0","0.0","0.1","8.6"
"Nick Westbrook-Ikhine","TEN","5.0","61.2","0.4","0.0","0.0","0.0","0.1","8.2"
"Braxton Berrios","MIA","5.7","53.8","0.3","0.0","0.0","0.0","0.1","7.3"
"Jalen Reagor","NE","2.7","39.2","0.2","2.0","12.0","0.1","0.1","6.6"
"Jalen Brooks","DAL","3.8","42.8","0.3","0.0","0.0","0.0","0.0","6.2"
"Casey Washington","ATL","3.6","41.2","0.3","0.0","0.0","0.0","0.0","6.0"
"Charlie Jones","CIN","3.8","41.2","0.3","0.0","0.0","0.0","0.0","5.7"
"Deonte Harty","BAL","3.2","37.3","0.2","0.0","0.0","0.0","0.0","4.7"
"Sterling Shepard","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
