Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Nico Collins,HOU,WR,200.8,45.5,90.0,70.7,Nico,Collins,HOU,51.3
Chris Olave,NO,WR,201.60000000000002,46.3,90.8,71.5,Chris,Olave,NO,30.0
DK Metcalf,SEA,WR,193.10000000000002,37.8,82.3,63.0,DK,Metcalf,SEA,59.7
Marvin Harrison,ARI,WR,199.5,44.2,88.7,69.4,Marvin,Harrison,ARI,22.3
Davante Adams,LV,WR,202.4,47.1,91.6,72.3,Davante,Adams,LV,32.3
Brandon Aiyuk,SF,WR,191.60000000000002,36.3,80.8,61.5,Brandon,Aiyuk,SF,36.1
DJ Moore,CHI,WR,185.9,30.6,75.1,55.8,DJ,Moore,CHI,48.8
Cooper Kupp,LAR,WR,189.6,34.3,78.8,59.5,Cooper,Kupp,LAR,57.3
Tee Higgins,CIN,WR,182.4,27.1,71.6,52.3,Tee,Higgins,CIN,69.6
Drake London,ATL,WR,190.3,35.0,79.5,60.2,Drake,London,ATL,33.8
Tank Dell,HOU,WR,174.8,19.5,64.0,44.7,Tank,Dell,HOU,73.9
DeVonta Smith,PHI,WR,188.4,33.1,77.6,58.3,DeVonta,Smith,PHI,58.2
Amari Cooper,CLE,WR,183.3,28.0,72.5,53.2,Amari,Cooper,CLE,67.4
Calvin Ridley,TEN,WR,173.5,18.2,62.7,43.4,Calvin,Ridley,TEN,93.0
Zay Flowers,BAL,WR,177.0,21.7,66.2,46.9,Zay,Flowers,BAL,68.4
Jaylen Waddle,MIA,WR,179.0,23.7,68.2,48.9,Jaylen,Waddle,MIA,50.0
Stefon Diggs,HOU,WR,180.4,25.1,69.6,50.3,Stefon,Diggs,HOU,44.0
George Pickens,PIT,WR,165.60000000000002,10.3,54.8,35.5,George,Pickens,PIT,69.4
Christian Watson,GB,WR,155.3,0.0,44.5,25.2,Christian,Watson,GB,118.4
DeAndre Hopkins,TEN,WR,165.10000000000002,9.8,54.3,35.0,DeAndre,Hopkins,TEN,111.7
Jayden Reed,GB,WR,156.1,0.8,45.3,26.0,Jayden,Reed,GB,88.3
Michael Pittman,IND,WR,179.10000000000002,23.8,68.3,49.0,Michael,Pittman,IND,39.8
Chris Godwin,TB,WR,166.9,11.6,56.1,36.8,Chris,Godwin,TB,90.9
Malik Nabers,NYG,WR,165.2,9.9,54.4,35.1,Malik,Nabers,NYG,55.1
Diontae Johnson,CAR,WR,162.8,7.5,52.0,32.7,Diontae,Johnson,CAR,109.3
Jordan Addison,MIN,WR,161.1,5.8,50.3,31.0,Jordan,Addison,MIN,97.9
Hollywood Brown,KC,WR,156.4,1.1,45.6,26.3,Hollywood,Brown,KC,87.3
Rashee Rice,KC,WR,156.9,1.6,46.1,26.8,Rashee,Rice,KC,96.6
Terry McLaurin,WAS,WR,158.60000000000002,3.3,47.8,28.5,Terry,McLaurin,WAS,80.2
Christian Kirk,JAX,WR,161.8,6.5,51.0,31.7,Christian,Kirk,JAX,78.2
Xavier Worthy,KC,WR,148.9,-6.4,38.1,18.8,Xavier,Worthy,KC,95.3
Courtland Sutton,DEN,WR,153.60000000000002,-1.7,42.8,23.5,Courtland,Sutton,DEN,135.2
Keenan Allen,CHI,WR,158.20000000000002,2.9,47.4,28.1,Keenan,Allen,CHI,76.3
Mike Williams,NYJ,WR,147.0,-8.3,36.2,16.9,Mike,Williams,NYJ,141.6
Ladd McConkey,LAC,WR,142.9,-12.4,32.1,12.8,Ladd,McConkey,LAC,97.4
Jerry Jeudy,CLE,WR,144.7,-10.6,33.9,14.6,Jerry,Jeudy,CLE,146.1
Rome Odunze,CHI,WR,140.5,-14.8,29.7,10.4,Rome,Odunze,CHI,86.4
Keon Coleman,BUF,WR,143.70000000000002,-11.6,32.9,13.6,Keon,Coleman,BUF,114.5
Brian Thomas,JAX,WR,137.8,-17.5,27.0,7.7,Brian,Thomas,JAX,123.1
Tyler Lockett,SEA,WR,144.5,-10.8,33.7,14.4,Tyler,Lockett,SEA,134.9
Jakobi Meyers,LV,WR,140.4,-14.9,29.6,10.3,Jakobi,Meyers,LV,140.0
Romeo Doubs,GB,WR,134.5,-20.8,23.7,4.4,Romeo,Doubs,GB,136.5
Jameson Williams,DET,WR,130.1,-25.2,19.3,0.0,Jameson,Williams,DET,125.7
Rashid Shaheed,NO,WR,136.2,-19.1,25.4,6.1,Rashid,Shaheed,NO,151.9
Gabe Davis,JAX,WR,132.10000000000002,-23.2,21.3,2.0,Gabe,Davis,JAX,157.7
Jaxon Smith-Njigba,SEA,WR,142.5,-12.8,31.7,12.4,Jaxon,Smith-Njigba,SEA,115.0
Brandin Cooks,DAL,WR,131.5,-23.8,20.7,1.4,Brandin,Cooks,DAL,164.1
Curtis Samuel,BUF,WR,127.2,-28.1,16.4,-2.9,Curtis,Samuel,BUF,143.5
Khalil Shakir,BUF,WR,129.5,-25.8,18.7,-0.6,Khalil,Shakir,BUF,144.0
Kendrick Bourne,NE,WR,125.4,-29.9,14.6,-4.7,Kendrick,Bourne,NE,232.8
DeMario Douglas,NE,WR,128.60000000000002,-26.7,17.8,-1.5,DeMario,Douglas,NE,180.4
Darnell Mooney,ATL,WR,120.5,-34.8,9.7,-9.6,Darnell,Mooney,ATL,177.5
Adam Thielen,CAR,WR,129.3,-26.0,18.5,-0.8,Adam,Thielen,CAR,176.4
Joshua Palmer,LAC,WR,120.3,-35.0,9.5,-9.8,Joshua,Palmer,LAC,158.3
DJ Chark,LAC,WR,110.80000000000001,-44.5,0.0,-19.3,DJ,Chark,LAC,228.5
Demarcus Robinson,LAR,WR,113.9,-41.4,3.1,-16.2,Demarcus,Robinson,LAR,219.2
Darius Slayton,NYG,WR,108.3,-47.0,-2.5,-21.8,Darius,Slayton,NYG,234.9
Jahan Dotson,WAS,WR,108.5,-46.8,-2.3,-21.6,Jahan,Dotson,WAS,153.5
Adonai Mitchell,IND,WR,108.7,-46.6,-2.1,-21.4,Adonai,Mitchell,IND,150.3
Wan'Dale Robinson,NYG,WR,113.9,-41.4,3.1,-16.2,Wan'Dale,Robinson,NYG,194.6
Xavier Legette,CAR,WR,106.80000000000001,-48.5,-4.0,-23.3,Xavier,Legette,CAR,148.1
Michael Wilson,ARI,WR,104.4,-50.9,-6.4,-25.7,Michael,Wilson,ARI,188.5
Marvin Mims,DEN,WR,104.80000000000001,-50.5,-6.0,-25.3,Marvin,Mims,DEN,193.0
Quentin Johnston,LAC,WR,102.1,-53.2,-8.7,-28.0,Quentin,Johnston,LAC,159.3
Jermaine Burton,CIN,WR,102.10000000000001,-53.2,-8.7,-28.0,Jermaine,Burton,CIN,187.6
Rashod Bateman,BAL,WR,103.2,-52.1,-7.6,-26.9,Rashod,Bateman,BAL,197.0
Josh Downs,IND,WR,105.10000000000001,-50.2,-5.7,-25.0,Josh,Downs,IND,162.4
